Year,United States,Russia,Iran,China,Canada,Afghanistan,Albania,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Cameroon,Chile,Colombia,Congo,Cote d'Ivoire,Croatia,Cuba,Czechia,Czechoslovakia,Denmark,East Timor,Ecuador,Egypt,Equatorial Guinea,France,Gabon,Georgia,Germany,Ghana,Greece,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Libya,Malaysia,Mexico,Moldova,Morocco,Mozambique,Myanmar,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Qatar,Romania,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,Uzbekistan,Venezuela,Vietnam,World,Yemen,Yugoslavia
1900,0.265825512,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.265825512,,0
1901,0.29458103,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.29458103,,0
1902,0.323336534,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.323336534,,0
1903,0.352092042,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.352092042,,0
1904,0.380847546,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.380847546,,0
1905,0.40960305,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.40960305,,0
1906,0.438358558,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.438358558,,0
1907,0.46711404,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.46711404,,0
1908,0.49586958,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.49586958,,0
1909,0.524625084,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.524625084,,0
1910,0.553380588,,0,0,0.013939867,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.5673204,,0
1911,0.583211484,,0,0,0.014263722,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.597475188,,0
1912,0.613042452,,0,0,0.014587578,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.627629976,,0
1913,0.642873348,,0,0,0.014911434,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.657784764,,0
1914,0.672704244,,0,0,0.015235289,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.687939516,,0
1915,0.702535212,,0,0,0.015559146,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,,,,,,0,0,,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,,0,,0.718094304,,0
